larry.elison@oracle.com	Larry the Cable Guy	6	sushi
connor.l@me.com	Connor Wilson	11	Honey Oats
tom.l@me.com	tommy	10	pasta
debbie.h@me.com	Debs	6	caviar
ken.olson@digital.com	Ken	9	beer
chuck@cisco.com	Chuck Robbins	15	Peanut butter and jelly
alex@ucsc.edu	Alexandra the Great	11	Le Croix Water
marcron@gov.fr	Macron	13	Escargot with baguette
schmidt@alphabet.Com	Eric Schmidt	9	Blow fish
Zuckerberg@fb.com	Zucks	5	potatoe chips
scott.mcnealy@sun.com	Beam me up Scotty	10	hot dog
bj@uk	Borris Johnson	6	bubbles

